"id_establecimiento","id_partido","votos","votos_paso","votos_pv","dif_paso","dif_pv"
78,"0131",1912,348,407,1564,1505
78,"0135",1222,1991,2244,-769,-1022
79,"0131",1019,186,221,833,798
79,"0135",771,1217,1311,-446,-540
80,"0131",522,90,91,432,431
80,"0135",265,499,574,-234,-309
81,"0131",483,144,159,339,324
81,"0135",1035,1090,1184,-55,-149
82,"0131",1481,271,274,1210,1207
82,"0135",1336,2177,2195,-841,-859
83,"0131",2708,451,546,2257,2162
83,"0135",2364,3427,3819,-1063,-1455
84,"0131",658,148,172,510,486
84,"0135",1199,1318,1458,-119,-259
85,"0131",1880,269,321,1611,1559
85,"0135",1058,2226,2268,-1168,-1210
86,"0131",570,101,118,469,452
86,"0135",721,922,1000,-201,-279
87,"0131",852,211,263,641,589
87,"0135",1485,1661,1819,-176,-334
88,"0131",2434,365,399,2069,2035
88,"0135",1690,2981,3227,-1291,-1537
89,"0131",1382,315,406,1067,976
89,"0135",1152,1511,1693,-359,-541
90,"0131",2488,714,829,1774,1659
90,"0135",2616,3001,3329,-385,-713
91,"0131",985,375,290,610,695
91,"0135",1006,1176,1309,-170,-303
92,"0131",1970,621,761,1349,1209
92,"0135",1720,1985,2174,-265,-454
93,"0131",1157,458,540,699,617
93,"0135",1451,1396,1517,55,-66
94,"0131",1470,495,559,975,911
94,"0135",1664,1692,1895,-28,-231
95,"0131",1660,683,713,977,947
95,"0135",2212,2173,2253,39,-41
96,"0131",3217,744,870,2473,2347
96,"0135",1344,2478,2672,-1134,-1328
97,"0131",1901,544,620,1357,1281
97,"0135",1227,1625,1843,-398,-616
98,"0131",657,233,245,424,412
98,"0135",612,686,758,-74,-146
99,"0131",1307,567,649,740,658
99,"0135",1355,1166,1321,189,34
100,"0131",980,326,372,654,608
100,"0135",693,811,896,-118,-203
101,"0131",1119,438,478,681,641
101,"0135",863,881,1004,-18,-141
102,"0131",877,362,416,515,461
102,"0135",989,834,979,155,10
103,"0131",2267,662,884,1605,1383
103,"0135",1615,1696,2020,-81,-405
104,"0131",2127,755,853,1372,1274
104,"0135",1626,1770,1996,-144,-370
105,"0131",605,316,365,289,240
105,"0135",817,653,724,164,93
106,"0131",860,480,528,380,332
106,"0135",1367,1035,1122,332,245
107,"0131",529,227,259,302,270
107,"0135",443,442,469,1,-26
108,"0131",1198,305,337,893,861
108,"0135",227,635,749,-408,-522
109,"0131",727,265,312,462,415
109,"0135",503,553,627,-50,-124
110,"0131",1093,511,592,582,501
110,"0135",1289,1104,1193,185,96
111,"0131",1187,439,508,748,679
111,"0135",793,849,927,-56,-134
112,"0131",1401,627,750,774,651
112,"0135",1481,1106,1346,375,135
113,"0131",1170,519,584,651,586
113,"0135",1037,929,1056,108,-19
114,"0131",842,438,476,404,366
114,"0135",1124,857,911,267,213
115,"0131",1762,779,871,983,891
115,"0135",1413,1319,1431,94,-18
116,"0131",1039,447,501,592,538
116,"0135",930,779,932,151,-2
117,"0131",2137,780,879,1357,1258
117,"0135",1280,1478,1598,-198,-318
118,"0131",1461,771,867,690,594
118,"0135",1680,1225,1363,455,317
119,"0131",1232,777,896,455,336
119,"0135",2032,1274,1391,758,641
120,"0131",1884,799,901,1085,983
120,"0135",1415,1310,1414,105,1
121,"0131",1773,892,1051,881,722
121,"0135",1564,1056,1296,508,268
122,"0131",1554,855,977,699,577
122,"0135",1499,1051,1162,448,337
123,"0131",1536,661,717,875,819
123,"0135",1067,971,1098,96,-31
124,"0131",1555,511,570,1044,985
124,"0135",524,807,902,-283,-378
125,"0131",576,465,520,111,56
125,"0135",1232,664,723,568,509
126,"0131",589,202,233,387,356
126,"0135",210,325,340,-115,-130
127,"0131",456,278,324,178,132
127,"0135",591,387,440,204,151
128,"0131",1437,656,715,781,722
128,"0135",1124,1035,1160,89,-36
129,"0131",961,577,666,384,295
129,"0135",1381,901,975,480,406
130,"0131",1448,642,841,806,607
